knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4996)
knob innodb_buffer_pool_size up mt 0.04, Buf_fetch<Buf_fetch_normal>::single_page below 13.84 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4998)
knob innodb_buffer_pool_size up mt 0.04, buf_page_get_gen below 14.27 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4974)
Fil_shard::do_io 1.8 to 9.11, knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4996)
Fil_shard::do_io 1.8 to 9.11, knob innodb_buffer_pool_size up mt 0.04, Buf_fetch<Buf_fetch_normal>::single_page below 13.84 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4998)
Fil_shard::do_io 1.8 to 9.11, knob innodb_buffer_pool_size up mt 0.04, buf_page_get_gen below 14.27 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4974)
fil_io 1.86 to 9.25, knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4978)
fil_io 1.86 to 9.25, knob innodb_buffer_pool_size up mt 0.04, Buf_fetch<Buf_fetch_normal>::single_page below 13.84 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4979)
fil_io 1.86 to 9.25, knob innodb_buffer_pool_size up mt 0.04, buf_page_get_gen below 14.27 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.08, 数据总数: 4962)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, Buf_fetch<Buf_fetch_normal>::single_page below 13.84 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4996)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, buf_page_get_gen below 14.27 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4973)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4996)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4993)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, handler::ha_index_read_map below 41.62 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4996)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, buf_page_init_for_read below 6.13 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.09, 数据总数: 4961)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, ha_innobase::index_read below 38.9 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4996)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, Buf_fetch_normal::get below 10.79 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4996)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, buf_read_page_low below 8.7 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.09, 数据总数: 4962)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4996)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.15, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, Buf_fetch<Buf_fetch_normal>::single_page below 13.84, buf_page_get_gen below 14.27 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4974)
knob innodb_buffer_pool_size up mt 0.04, Buf_fetch<Buf_fetch_normal>::single_page below 13.84, [libpthread-2.17.so] below 1.57 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4998)
knob innodb_buffer_pool_size up mt 0.04, Buf_fetch<Buf_fetch_normal>::single_page below 13.84, row_search_mvcc below 67.04 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4994)
knob innodb_buffer_pool_size up mt 0.04, Buf_fetch<Buf_fetch_normal>::single_page below 13.84, handler::ha_index_read_map below 41.62 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4998)
knob innodb_buffer_pool_size up mt 0.04, Buf_fetch<Buf_fetch_normal>::single_page below 13.84, buf_page_init_for_read below 6.13 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.09, 数据总数: 4961)
knob innodb_buffer_pool_size up mt 0.04, Buf_fetch<Buf_fetch_normal>::single_page below 13.84, ha_innobase::index_read below 38.9 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4998)
knob innodb_buffer_pool_size up mt 0.04, Buf_fetch<Buf_fetch_normal>::single_page below 13.84, Buf_fetch_normal::get below 10.79 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4998)
knob innodb_buffer_pool_size up mt 0.04, Buf_fetch<Buf_fetch_normal>::single_page below 13.84, buf_read_page_low below 8.7 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.09, 数据总数: 4962)
knob innodb_buffer_pool_size up mt 0.04, Buf_fetch<Buf_fetch_normal>::single_page below 13.84, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4998)
knob innodb_buffer_pool_size up mt 0.04, Buf_fetch<Buf_fetch_normal>::single_page below 13.84, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.15, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, buf_page_get_gen below 14.27, [libpthread-2.17.so] below 1.57 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4974)
knob innodb_buffer_pool_size up mt 0.04, buf_page_get_gen below 14.27, row_search_mvcc below 67.04 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4972)
knob innodb_buffer_pool_size up mt 0.04, buf_page_get_gen below 14.27, handler::ha_index_read_map below 41.62 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4974)
knob innodb_buffer_pool_size up mt 0.04, buf_page_get_gen below 14.27, buf_page_init_for_read below 6.13 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.10, 数据总数: 4960)
knob innodb_buffer_pool_size up mt 0.04, buf_page_get_gen below 14.27, ha_innobase::index_read below 38.9 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4974)
knob innodb_buffer_pool_size up mt 0.04, buf_page_get_gen below 14.27, Buf_fetch_normal::get below 10.79 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4974)
knob innodb_buffer_pool_size up mt 0.04, buf_page_get_gen below 14.27, buf_read_page_low below 8.7 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.10, 数据总数: 4960)
knob innodb_buffer_pool_size up mt 0.04, buf_page_get_gen below 14.27, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4974)
knob innodb_buffer_pool_size up mt 0.04, buf_page_get_gen below 14.27, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.22, 数据总数: 4955)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, buf_page_init_for_read below 6.13, Buf_fetch_normal::get below 10.79, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.09, 数据总数: 4961)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, buf_page_init_for_read below 6.13, Buf_fetch_normal::get below 10.79, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.36, 数据总数: 4953)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, buf_page_init_for_read below 6.13, buf_read_page_low below 8.7, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.11, 数据总数: 4959)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, buf_page_init_for_read below 6.13, buf_read_page_low below 8.7, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.36, 数据总数: 4953)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, buf_page_init_for_read below 6.13, Buf_fetch<Buf_fetch_normal>::read_page below 8.72, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.36, 数据总数: 4953)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, ha_innobase::index_read below 38.9, Buf_fetch_normal::get below 10.79, buf_read_page_low below 8.7 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.09, 数据总数: 4962)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, ha_innobase::index_read below 38.9, Buf_fetch_normal::get below 10.79, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4996)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, ha_innobase::index_read below 38.9, Buf_fetch_normal::get below 10.79, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.14, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, ha_innobase::index_read below 38.9, buf_read_page_low below 8.7, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.09, 数据总数: 4962)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, ha_innobase::index_read below 38.9, buf_read_page_low below 8.7, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.26, 数据总数: 4955)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, ha_innobase::index_read below 38.9, Buf_fetch<Buf_fetch_normal>::read_page below 8.72, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.14, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, Buf_fetch_normal::get below 10.79, buf_read_page_low below 8.7, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.09, 数据总数: 4962)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, Buf_fetch_normal::get below 10.79, buf_read_page_low below 8.7, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.26, 数据总数: 4955)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, Buf_fetch_normal::get below 10.79, Buf_fetch<Buf_fetch_normal>::read_page below 8.72, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.14, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, [libpthread-2.17.so] below 1.57, buf_read_page_low below 8.7, Buf_fetch<Buf_fetch_normal>::read_page below 8.72, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.26, 数据总数: 4955)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, ha_innobase::index_read below 38.9 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.12, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, Buf_fetch_normal::get below 10.79 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.12, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, buf_read_page_low below 8.7 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.12, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.12, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.34, 数据总数: 4953)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, ha_innobase::index_read below 38.9, Buf_fetch_normal::get below 10.79 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4993)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, ha_innobase::index_read below 38.9, buf_read_page_low below 8.7 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.10, 数据总数: 4961)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, ha_innobase::index_read below 38.9, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4993)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, ha_innobase::index_read below 38.9, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.14, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, Buf_fetch_normal::get below 10.79, buf_read_page_low below 8.7 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.10, 数据总数: 4961)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, Buf_fetch_normal::get below 10.79, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4993)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, Buf_fetch_normal::get below 10.79, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.14, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, buf_read_page_low below 8.7, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.10, 数据总数: 4961)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, buf_read_page_low below 8.7, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.25, 数据总数: 4955)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, handler::ha_index_read_map below 41.62, Buf_fetch<Buf_fetch_normal>::read_page below 8.72, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.14, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, buf_page_init_for_read below 6.13, ha_innobase::index_read below 38.9, Buf_fetch_normal::get below 10.79 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.12, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, buf_page_init_for_read below 6.13, ha_innobase::index_read below 38.9, buf_read_page_low below 8.7 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.12, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, buf_page_init_for_read below 6.13, ha_innobase::index_read below 38.9, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.12, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, buf_page_init_for_read below 6.13, ha_innobase::index_read below 38.9, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.34, 数据总数: 4953)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, buf_page_init_for_read below 6.13, Buf_fetch_normal::get below 10.79, buf_read_page_low below 8.7 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.12, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, buf_page_init_for_read below 6.13, Buf_fetch_normal::get below 10.79, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.12, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, buf_page_init_for_read below 6.13, Buf_fetch_normal::get below 10.79, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.34, 数据总数: 4953)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, buf_page_init_for_read below 6.13, buf_read_page_low below 8.7, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.12, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, buf_page_init_for_read below 6.13, buf_read_page_low below 8.7, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.34, 数据总数: 4953)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, buf_page_init_for_read below 6.13, Buf_fetch<Buf_fetch_normal>::read_page below 8.72, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.34, 数据总数: 4953)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, ha_innobase::index_read below 38.9, Buf_fetch_normal::get below 10.79, buf_read_page_low below 8.7 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.10, 数据总数: 4961)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, ha_innobase::index_read below 38.9, Buf_fetch_normal::get below 10.79, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.07, 数据总数: 4993)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, ha_innobase::index_read below 38.9, Buf_fetch_normal::get below 10.79, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.14, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, ha_innobase::index_read below 38.9, buf_read_page_low below 8.7, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.10, 数据总数: 4961)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, ha_innobase::index_read below 38.9, buf_read_page_low below 8.7, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.25, 数据总数: 4955)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, ha_innobase::index_read below 38.9, Buf_fetch<Buf_fetch_normal>::read_page below 8.72, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.14, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, Buf_fetch_normal::get below 10.79, buf_read_page_low below 8.7, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.10, 数据总数: 4961)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, Buf_fetch_normal::get below 10.79, buf_read_page_low below 8.7, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.25, 数据总数: 4955)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, Buf_fetch_normal::get below 10.79, Buf_fetch<Buf_fetch_normal>::read_page below 8.72, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.14, 数据总数: 4958)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, row_search_mvcc below 67.04, buf_read_page_low below 8.7, Buf_fetch<Buf_fetch_normal>::read_page below 8.72, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.25, 数据总数: 4955)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, ha_innobase::index_read below 38.9, Buf_fetch_normal::get below 10.79 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.09, 数据总数: 4961)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, ha_innobase::index_read below 38.9, buf_read_page_low below 8.7 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.11, 数据总数: 4959)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, ha_innobase::index_read below 38.9, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.09, 数据总数: 4961)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, ha_innobase::index_read below 38.9, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.34, 数据总数: 4953)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, Buf_fetch_normal::get below 10.79, buf_read_page_low below 8.7 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.11, 数据总数: 4959)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, Buf_fetch_normal::get below 10.79, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.09, 数据总数: 4961)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, Buf_fetch_normal::get below 10.79, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.34, 数据总数: 4953)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, buf_read_page_low below 8.7, Buf_fetch<Buf_fetch_normal>::read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.11, 数据总数: 4959)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, buf_read_page_low below 8.7, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.34, 数据总数: 4953)
knob innodb_buffer_pool_size up mt 0.04, btr_cur_search_to_nth_level below 27.71, handler::ha_index_read_map below 41.62, buf_page_init_for_read below 6.13, Buf_fetch<Buf_fetch_normal>::read_page below 8.72, buf_read_page below 8.72 => lat decrease 10 above(支持度: 0.13, 置信度: 0.99, 提升度: 0.34, 数据总数: 4953)
